55.75 37.62
53.72 91.43
43.43 39.92
47.11 39.42
56.4 38.71
54.51 37.07
54.9 52.32
64.73 177.51
44.89 37.32
52.54 103.89
56.08 86.03
67.56 33.4
55.39 43.84
44.99 41.12
44.15 133.28
43.36 132.19
64.54 40.54
57.01 61.46
46.35 48.04
56.27 90.5
52.03 47.8
56.49 43.6
55.81 37.96
51.55 43.17
53.36 83.76
47.14 39.75
50.61 36.58
54.12 54.12
54.42 86.3
50.92 128.48
53.96 58.4
44.77 39.88
54.76 83.1
59.41 56.82
55.6 86.2
52.54 85.21
48.79 132.92
50.28 127.54
56.36 44.07
51.37 42.08
58.39 33.92
56.13 101.61
53.25 34.37
54.54 52.8
53.66 52.44
44.78 44.17
52.78 52.26
42.82 47.12
56.34 30.55
58.52 31.27
56.97 60.58
55.55 37.71
43.11 131.87
43.04 44.67
56.14 40.4
48.72 44.5
47.51 42.15
55.87 48.36
48.79 44.78
59.22 39.88
52.05 47.38
67.5 64.05
51.67 39.18
55.32 38.65
55.88 37.56
57.05 53.99
60.71 28.75
55.32 42.17
57.59 34.56
55.21 34.3
59.58 30.13
44.56 38.08
44.15 43.47
58.14 52.66
51.96 85.92
43.31 45.69
51.28 37.55
48.06 39.94
55.61 40.65
42.07 48.29
56.24 43.46
54.21 49.62
56.34 37.52
55.95 37.5
55.44 37.75
48.34 39.96
56.73 37.17
55.38 39.03
46.71 38.27
56.85 60.61
55.76 52.06
52.62 38.5
44.04 42.86
56.25 93.53
52.33 35.37
55.74 38.02
53.4 49.5
55.6 38.12
53.13 46.58
53.2 45.19
53.71 84.95
56.11 94.6
55.98 37.18
55.84 48.52
55.17 59.65
57 40.97
55.97 37.92
56.85 53.2
52.3 104.3
54.64 83.3
56.11 69.49
53.45 56.04
56.64 47.89
55.79 49.12
54.71 20.51
54.53 36.28
48.32 40.26
56.42 61.93
50.1 45.42
56.2 95.72
42.88 47.64
55.33 86.08
43.85 46.71
56.87 37.35
59.37 28.61
57.44 42.13
59.45 32.02
58.6 49.66
58.55 50.04
53.99 86.66
43.91 42.72
55.36 37.53
56.33 36.73
52.76 32.24
56.36 41.32
62.27 74.48
55.08 38.78
59.75 30.59
50.55 137.01
55.12 61.63
55.91 37.83
57.77 40.93
61.26 46.65
55.82 37.33
45.04 38.98
50.1 118.04
58.08 55.76
59.77 60.21
56.02 92.87
45.44 40.58
44.93 37.99
56.15 44.2
53.12 46.6
52.77 55.78
57.44 56.96
55.45 65.33
51.74 36.19
51.71 94.45
44.63 40.74
54.6 52.46
54.66 86.17
57.62 63.08
58.24 92.48
52.43 37.61
52.6 39.57
50.98 39.52
56.01 37.48
58.11 57.81
55.58 37.91
55.68 37.89
59.56 150.8
43.22 44.77
53.42 59.05
44.61 40.11
42.98 47.5
53.69 88.06
52.96 55.93
55.05 60.11
44.21 43.14
53.71 91.69
50.06 43.24
45.13 42.03
52.9 40.49
68.98 33.09
55.58 42.04
55.91 37.73
55.73 52.41
56.01 90.4
43.23 44.77
43.5 43.62
55.39 36.73
67.64 53
42.81 132.87
44.63 41.94
56.67 124.64
56.09 54.27
61.1 72.6
60.93 76.55
55.64 51.82
56.33 44
57.92 59.97
55.65 37.34
53.39 83.94
53.76 87.11
53.1 49.95
54.01 38.28
44.72 37.77
55.04 82.93
51.2 58.33
57.24 60.08
56.11 47.48
47.42 40.09
47.76 39.93
66.08 76.63
55.87 38.44
69.35 88.2
63.19 75.44
62.14 65.39
55.1 36.61
55.68 37.28
55.76 60.7
54.48 53.47
54.99 73.37
52.97 36.08
51.77 55.1
55.81 38.96
51.2 58.57
53.38 51.35
55.97 43.09
55.78 38.65
53.2 45
56.91 59.94
58.01 56.25
59.88 29.9
61.78 34.35
53.04 158.65
55.42 37.55
56.44 60.19
53.91 86.72
43.76 44.03
57.81 28.35
59.71 30.4
56.02 37.87
44.05 43.06
55.57 38.23
56.8 59.93
55.76 37.86
56.26 34.33
53.95 32.86
51.12 38.51
50.2 39.57
47.23 39.72
51.51 81.21
58.04 38.84
54.63 39.69
53.38 55.91
66.53 66.6
46.47 41.54
53.2 50.15
59.94 30.31
54.18 45.17
56.48 53.8
51.54 46.01
54.94 43.32
51.38 128.14
64.56 39.83
69.07 33.42
56.6 84.89
56.3 38.13
59.6 60.58
54.92 37.41
52.72 58.67
45.26 38.13
54.78 32.04
56.09 60.73
59.63 56.77
56.18 36.98
59.9 29.09
43.6 39.73
45.04 41.97
51.3 37.84
53.62 55.95
54.9 38.07
43.32 45.05
61.25 73.42
53.16 48.47
61.68 50.81
47.24 38.9
69.49 88.4
52.73 41.44
56.86 35.9
45.62 38.95
59.65 33.53
45.85 40.13
58.2 68.25
53.53 49.35
56.5 84.97
54.1 61.58
44.11 39.08
54.61 53.71
54.2 37.62
54.56 100.58
57.15 65.53
53.98 38.17
51.83 107.61
54.33 48.39
52.75 103.65
43.8 131.95
58 102.66
54.74 55.97
63.57 53.68
55.73 38.46
55.96 38.05
48.48 135.08
61 69
43.25 46.59
55.9 37.43
56.77 54.11
52.98 49.71
56.13 47.25
55.15 61.43
55.66 37.56
53.16 103.07
59.13 37.9
44.22 42.06
53.82 91.28
55.15 37.48
55.36 50.64
52.03 113.5
58.3 57.81
56.09 63.63
47.71 40.21
56.85 41.39
54.01 37.52
55.93 37.97
61.81 50.73
55.79 38.45
46.31 44.26
51.48 46.11
46.95 142.74
62.03 129.73
57.63 39.87
55.07 32.7
